Ciudad,Clave cd,Entidad,Derecho,MA,Sociedad,Político,Gobierno,Mercado laboral,Economía,Precursores,RI,Innovación,GENERAL
Cancún,36,Quintana Roo,59.7664280779,74.2967080525,61.1463261671,35.8295229408,46.6280733781,43.3645124692,65.5648225316,67.4354202789,56.7613169516,8.4733047744,53.4492588916
Chetumal ,76,Quintana Roo,49.1706123225,58.317903553,54.4097319229,44.5310713368,37.946594437,53.930512647,46.0679414909,45.6336928848,8.004620088,6.3116956826,41.0165999911
Rioverde-Ciudad Fernández,38,San Luis Potosí,65.3236808199,41.3212938409,51.2625355372,41.1082582611,49.4398357239,37.5639262203,38.3128855874,27.9555428377,11.3536202037,4.2154702203,37.584007509
San Luis Potosí-Soledad,37,San Luis Potosí,63.2793187932,49.3494905557,52.9243721048,39.3421213851,59.2496456225,45.8214356872,53.5190047396,50.4299917897,30.1856991146,21.4814946241,47.5347889717
Los Mochis,69,Sinaloa,53.973238394,64.014593572,53.3038437183,38.4102599643,68.7096183347,49.0941517029,47.7402702218,36.3720323916,12.256081696,20.5863803142,45.3238848615
Culiacán,70,Sinaloa,41.4286965719,74.0898694086,56.7369540238,34.7634437304,63.8603634276,50.704566226,67.9444211288,42.7953555003,14.9788020266,22.2235208496,47.924932999
Mazatlán,71,Sinaloa,50.9662572098,63.1263512743,54.7367024011,36.6791819983,64.173446184,51.8202663769,43.2328339853,48.856698325,38.4292600573,24.9842024396,48.6483381487
Ciudad Obregon ,72,Sonora,63.702619706,59.1413912067,56.8246748873,40.2545431772,62.9261032562,44.5791337396,42.9541909117,50.5304203077,16.4189550043,15.8973320453,46.5304663802
Guaymas,39,Sonora,67.7189141692,44.1839648489,48.8399196953,41.4953040705,46.6849337851,49.3617842664,37.4085566158,48.5864683897,26.4544216017,40.4447260974,45.3545185169
Hermosillo,73,Sonora,69.1989376136,45.5166065264,66.1178932794,35.8474770552,61.2149354556,45.6021792232,48.8946971598,59.6453126666,27.8232474413,23.8291049773,49.7852418892
Cárdenas,74,Tabasco,58.7636249128,66.9036309564,41.2047353373,44.0433269121,35.6701145725,45.9350429672,29.6645682194,29.8181097252,9.7537196697,1.3462719142,36.5896213081
Villahermosa,40,Tabasco,64.2745216814,63.7410076023,53.8258583139,40.621320895,48.0166327809,34.7397651059,49.2524805485,38.2226068703,20.7599336562,8.3605093158,43.1647403667
Tampico-Pánuco,41,Tamaulipas,61.2122864093,62.73669789,51.8877183929,40.483410025,46.2899147953,46.4234419007,45.98956939,49.4759904554,28.5441252408,13.2206784602,45.4589277586
Matamoros,43,Tamaulipas,69.2865832131,64.1155228995,45.2158321672,26.8289620481,42.2059724977,49.7542982425,33.461599326,50.5696087847,16.8129321647,8.1579711795,41.5698740279
Nuevo Laredo,44,Tamaulipas,54.6878819363,64.7020824595,47.9294840487,22.0932367235,39.6195714429,49.725635766,33.6364202817,35.2955096443,16.5884188,12.792220785,38.377800038
Reynosa-Río Bravo,42,Tamaulipas,67.8641634457,64.6762044601,44.9934509883,33.0453738551,45.9614050606,46.6059445836,32.8098738755,42.848581431,19.6992727724,10.3455913221,41.6525827549
Ciudad Victoria,75,Tamaulipas,67.5864571622,80.0921511697,57.2937452664,43.5204552941,47.5756977765,48.1677228069,41.9784821072,51.8484144136,11.942184783,11.6737498741,47.100452387
Tlaxcala-Apizaco,45,Tlaxcala,63.9356529578,62.4286051198,56.7442863114,58.0171076061,42.7370237723,40.5402993576,38.3894714628,36.5702548616,7.0030600445,13.6551916605,42.4269173185
Veracruz,46,Veracruz,55.6325888775,68.5105344007,56.1128244269,36.3090342614,54.8500541733,45.5151157027,55.8250071674,49.2571155018,17.4469525579,15.8223860359,46.6179089524
Córdoba,52,Veracruz,60.1574753539,50.9631214894,47.8032525711,46.1292606905,48.1029068777,49.3506638356,45.6475107923,39.9566759289,7.1473210225,11.7015366432,41.2028155623
Orizaba,49,Veracruz,56.2054248621,45.0773219195,47.9434446877,47.3206286946,50.7598450253,50.3037940391,38.5271818012,39.3042465188,7.1551955678,12.0387692317,39.9629700342
Xalapa,47,Veracruz,59.196104954,54.4894602661,56.4129117508,47.9359454884,56.874229337,46.1116512469,54.8842666211,39.7310012449,10.2173174533,19.0057581805,45.187141234
Poza Rica,48,Veracruz,57.7970834942,48.0061270528,41.1621108591,43.689826114,45.6371997471,41.6549014039,42.8536986035,29.6583095333,12.8694940187,8.3777668452,37.5755750583
Coatzacoalcos,51,Veracruz,59.613687349,52.3816262036,45.749193822,44.4186743626,54.7993928248,47.3673796183,43.1119141187,42.5106320109,16.2254684513,10.833235014,42.4097764444
Minatitlán,50,Veracruz,58.0290474511,45.6568373192,41.796468726,43.5501183679,47.7228601829,54.4513028089,38.856918985,38.279603224,9.6375938284,8.1831780083,39.0012160233
Mérida,53,Yucatán,74.2246694486,64.4833409998,51.8484074501,60.8216658384,51.4917647611,44.4217197951,52.3338261715,45.2991179694,18.7725857136,23.0661052398,49.0449413491
Zacatecas-Guadalupe,54,Zacatecas,56.2412962853,46.1505418934,57.9105970047,58.6446909965,50.6114741447,45.9084234315,51.7564966284,47.0346924653,31.2100031792,11.4467620069,46.3864564082
Aguascalientes,1,Aguascalientes,71.5844371028,64.3054622643,59.3741701084,50.0820516812,62.8794395165,40.013590706,45.5052837801,46.3774363337,28.9299893932,15.4326295509,49.5485389967
Ensenada,55,Baja California,48.5576192156,54.0451477682,51.6288706081,34.8858564202,53.120767525,45.8910046424,50.0163977717,37.6329691267,19.2714468317,9.8419712169,41.391554726
Mexicali,3,Baja California,43.3590634717,75.1993006358,52.202951897,35.197763586,59.6296604881,55.7801510832,47.9357789027,43.7871063358,33.3567860167,14.1167689702,46.9404963315
Tijuana,2,Baja California,48.8010523159,66.469832977,50.2698914288,31.3620711482,63.803771242,54.7195029769,42.4048949424,44.523572581,26.4508235292,8.8807713142,44.8751877217
La Paz,56,Baja California Sur,69.5812530677,66.0640585135,58.1585731765,57.1369044491,68.5908467583,54.2861395493,49.2642107258,48.1404421819,29.3779680232,24.1072261269,53.1652400293
Los Cabos,57,Baja California Sur,72.7978269524,71.8239500793,54.6285729858,31.8649639389,58.0339184546,51.0103118254,43.7941549251,56.8864233358,67.2917275988,22.2523656791,54.1655961175
Campeche,58,Campeche,74.1764332974,58.258184838,60.7730140914,65.6101311472,54.5314815926,50.5483658637,44.892152486,47.802493267,28.2433840735,12.5175058548,50.3446415287
Ciudad del Carmen,59,Campeche,73.6857485222,69.7603700201,49.8318607371,37.6583074977,60.092614962,51.8413447976,31.8378263836,48.2405001849,13.3445395635,20.2232120788,46.49885543
Saltillo,5,Coahuila,74.6717024323,61.514938075,57.2748481163,59.1306675324,56.9900215286,55.7435972875,44.9075898254,39.1255976195,29.0952003513,25.3253296567,50.6245321102
Monclova-Frontera,6,Coahuila,77.2262344313,57.1035523403,52.0965376488,57.3401241719,54.0244717601,51.477120721,32.3398504021,41.1655559795,26.6826440209,19.0581752492,47.2026924843
La Laguna,4,Coahuila,53.6517014195,57.7307606459,50.4003695732,40.7555979315,47.7759763098,52.3680406947,42.7512778115,37.5521183826,28.1165090988,13.6248735064,42.9865047438
Piedras Negras,7,Coahuila,75.1892824743,65.1373917769,48.6275504921,60.9624390426,56.4315207377,41.6869769674,28.4655922101,40.1057337585,27.9026391443,20.7796447056,46.9202278486
Tecomán,9,Colima,61.9321609088,62.0860094961,51.4360791565,48.3312082477,44.3145608245,49.2104948973,33.2781086916,28.2621670113,17.4474485568,4.6230248156,40.4832027848
Colima-Villa de Álvarez,8,Colima,64.1326440721,66.9431893373,54.7854673334,60.8186173359,52.6381627467,50.7403096245,50.4929011269,41.6847993221,18.2211722367,7.7508662222,47.3503486058
Manzanillo,60,Colima,57.9491966488,59.2602917982,51.7030501138,48.4976436581,50.8873033845,53.3049896766,43.0952634976,44.2288846739,40.6596322032,12.8056406654,46.8100935578
Tuxtla Gutiérrez,10,Chiapas,69.2262135268,63.4812449461,50.8626985634,41.0703190625,53.1432179364,47.9940810949,42.8263501878,36.6675907985,9.8716620273,5.6534094555,42.8840617374
Tapachula,61,Chiapas,70.3272868608,62.6109127027,35.6878781696,44.402437405,35.7088128162,45.8685458971,42.854840292,32.2955489902,13.7076003242,6.2818600049,39.1156060933
Chihuahua,12,Chihuahua,49.9193108118,67.4623102369,55.9349879704,32.0500638148,56.5850087431,42.9162045722,45.1189158603,49.4885615419,42.6207720464,21.7282706782,47.5198224867
Juárez,11,Chihuahua,31.5663362668,75.833179935,47.5744086417,30.7113775024,57.29205551,53.370678071,43.4693566891,36.1367955844,34.1335307179,8.3578379072,42.6934894859
Valle de México,13,Distrito Federal,53.6712674021,49.1611196507,63.2416945023,33.4011925542,50.2337088544,43.3046143704,58.1516815398,67.8381494082,64.1225186436,66.3489792227,55.6242281827
Durango,62,Durango,60.9301801516,76.1428743733,55.8897587871,39.7439222663,52.7356693063,46.3466508749,39.9997861679,31.0398595625,24.036728156,12.5178591227,44.660512061
Celaya,63,Guanajuato,62.5507441903,52.8894182546,48.5885222955,44.2427357769,53.0554523822,46.77218243,46.1470211987,32.1156105508,22.1911844438,12.464608541,42.6379148432
Guanajuato,64,Guanajuato,81.8869594375,57.6669920537,57.1517367781,49.1039554246,66.9769482132,38.6895983427,45.669963061,38.8697035559,22.4653371595,21.9291420313,48.9728168769
Irapuato,65,Guanajuato,63.8974386775,59.3712045649,50.6839275594,45.7004790652,66.8367158734,37.8366883911,50.8022229139,23.8089671176,19.1027839131,10.9080796232,43.7158907503
León,14,Guanajuato,69.338535381,53.4860466227,54.6760467197,45.4807049904,59.9128302784,35.721103061,44.8368505015,41.2578457387,28.3230810126,13.5027003253,45.71870478
La Piedad-Pénjamo,26,Guanajuato,65.3237360969,50.3993280502,33.3307920959,29.7350672085,40.1763117074,53.8541073906,36.1478748118,21.3994730016,13.5005632357,8.7980441556,35.3261479483
San Francisco del Rincón,15,Guanajuato,70.4461943808,45.3621232844,51.1674472679,44.6323265568,54.789678479,36.748201914,39.2026290906,26.9764274678,15.2762014809,5.2355107885,39.7927322745
Salamanca,66,Guanajuato,66.9792783697,59.7283638271,48.2400151724,42.9283284546,58.0184154629,52.5139333901,41.2712232219,26.9342084782,13.4685251154,4.7010494737,42.061622341
Moroléon-Uriangato,78,Guanajuato,72.5032970529,49.434163535,48.3364077382,44.2964654207,43.0705505186,50.0861820174,36.444292067,31.3305388731,15.0505159019,5.1676940564,39.9858543063
Acapulco,16,Guerrero,48.6001428442,65.500983662,49.694455017,18.0936420643,41.8583671505,38.5780282539,46.3659559589,33.6522025626,28.2184900849,2.6189007175,38.464122547
Chilpancingo,77,Guerrero,61.8691876576,57.413254111,56.3526840424,28.1165273257,35.1824886045,41.519143834,48.325617107,31.3902050111,21.4744273444,2.9083922483,39.3356214509
Tula,19,Hidalgo,61.6960999295,60.4166371391,45.7370945716,34.5887904614,43.6283420848,69.1599348216,40.2954565886,32.8503286907,7.1502522886,6.6357999061,40.4351436995
Tulancingo,18,Hidalgo,66.6367529128,39.8786019633,49.9986215144,36.1418954166,34.0962737979,40.8167996259,40.0143475308,25.5029444585,5.767895789,7.4519529305,35.0765393335
Pachuca,17,Hidalgo,65.8797091589,46.6666676473,54.2849113023,38.2337901515,46.7606668396,50.4459322855,44.2804659871,29.6734681077,13.4695804257,12.8509293302,40.7707633115
Guadalajara,20,Jalisco,63.2276182054,60.4323553702,55.7265542312,43.3973596318,50.431238611,48.4960601343,50.4700540447,58.278951996,37.1623223696,18.5589430074,49.5624079285
Ocotlán,22,Jalisco,66.407762696,59.0854367312,48.6568943879,46.1106390182,40.2582859541,47.7062309135,39.9605084252,30.3115766517,19.9423009912,12.3448330018,41.3203989024
Puerto Vallarta,21,Jalisco,58.5528078946,66.8262582213,55.0248729995,41.3409515558,58.141888358,50.3165314775,39.9587420708,49.2164920391,54.0797782308,14.4360996428,49.773937377
Toluca,23,México,55.0997942076,53.9555075341,47.8179314823,47.7368344892,31.355382488,41.0209600858,48.6915935419,30.5590810044,27.1195556624,11.5612834265,39.6712467575
Zamora-Jacona,25,Michoacán,63.8435704404,59.5002616923,39.2810349408,27.9950907581,51.6925866957,51.2904103379,57.0774158706,30.0407115148,11.6248436251,14.9455343551,41.2063450229
Morelia,24,Michoacán,64.6574622264,62.9275987029,50.947840386,37.5873162139,55.9122135887,55.7997481348,48.635840199,35.7356199238,37.6854176248,14.4971711543,47.0535790439
Uruapan,67,Michoacán,64.7997580762,54.8965791895,55.2998695215,30.3204325473,57.4282798443,55.7708558922,49.5988918313,31.168384322,11.6245844637,8.5772463555,42.8083789668
Cuautla,28,Morelos,52.7990622572,62.6219398244,47.1501261013,42.3783604957,48.6274615429,38.8134705092,44.1366165307,35.3558619158,14.4639221659,22.8587387502,41.4010754081
Cuernavaca,27,Morelos,50.2433305288,69.9078872745,53.7418723387,53.6788235633,51.9570486182,39.1559937319,45.0038882844,38.0161261762,22.7182485679,21.2310330818,45.0912138166
Tepic,29,Nayarit,52.5716868739,66.542795508,55.8746760796,56.1423084917,53.9041451435,52.735702922,46.4580630718,42.2700505349,26.7784552968,8.0217341528,46.7502469655
Monterrey,30,Nuevo León,68.5714129551,60.9645661106,62.046027824,20.0564653919,59.6126993938,52.4762855782,52.7267720859,61.2975208157,46.4180350159,38.4093768144,53.5122257334
Oaxaca,31,Oaxaca,65.5453304257,39.7984725444,49.1186409896,38.4097373157,41.6395601909,43.154368289,46.2461016579,37.1488998971,25.0310215437,14.5385784183,40.6245887515
Tehuantepec-Salina Cruz,32,Oaxaca,66.8052254185,62.1386978837,44.6790294408,39.7781810309,46.4394832247,74.9421140283,43.6549595727,29.5707179461,15.952793684,6.6681040557,43.0698300148
Puebla-Tlaxcala,33,Puebla,63.0503847221,65.8069599327,53.9462138573,35.8219222977,41.7723284881,45.9095885551,46.2125362402,41.2387658946,30.325567606,24.9306083617,45.4400748727
Tehuacán,34,Puebla,58.4594985754,60.8199213585,47.4044136595,33.3692335803,37.620821133,39.057037464,39.0594616526,35.3186915781,14.5975172128,6.6108890399,37.9553878688
Querétaro,35,Querétaro,71.1434318396,56.963516552,56.5243373683,50.6009657418,66.3048378006,39.2613768595,55.2359227617,36.2103236616,51.5165323417,36.360616083,52.5968348778
San Juan del Río,68,Querétaro,73.1370124605,64.2727737878,46.070585396,47.0137151664,56.3519537162,38.5001205618,34.2525739736,30.4546917906,25.128486177,20.311634066,44.0316189092
Cancún,36,Quintana Roo,62.3507410264,73.2393063207,57.7381338147,33.5759479204,48.420718003,47.8888198315,63.0259600838,67.5611775146,57.9378380192,7.3450728191,53.3859911477
Chetumal ,76,Quintana Roo,51.3745232549,58.1602236545,53.9455653815,32.8053278253,35.3774356835,54.3580211338,49.6032405409,33.9897500178,9.6514687499,5.8269239019,39.0446413376
Rioverde-Ciudad Fernández,38,San Luis Potosí,63.6424161158,45.4008884713,50.7444081402,39.3212463573,53.0198631845,35.6113697796,45.1055076055,29.2577083144,13.8141655769,3.6045859411,38.9007019427
San Luis Potosí-Soledad,37,San Luis Potosí,62.8525899426,50.5843623503,54.5146636158,40.6327790438,62.0742003383,48.8035708541,52.2877727233,45.2853708101,32.0948547744,19.8265148249,47.8151043134
Los Mochis,69,Sinaloa,55.2126115903,62.2732791923,53.7120544251,24.9605221496,53.4761617437,54.2904711304,45.5873804441,31.2480630606,14.7896616582,18.0112884839,42.0780110378
Culiacán,70,Sinaloa,47.0071648579,74.0387948415,55.324946246,32.6958809697,57.092321977,54.1155258548,68.6893241413,35.9969265876,17.9545398781,16.2827951526,46.7155629105
Mazatlán,71,Sinaloa,56.5219271467,64.6254027532,56.1680238971,29.0247234468,62.4881229447,53.9880344543,44.2489060815,45.1038218119,41.83095604,18.4019459531,48.3270132002
Ciudad Obregon ,72,Sonora,66.5208126365,58.8926571862,56.7305685187,46.5282971155,59.7523728728,51.1264794322,42.6749652027,50.3386522162,21.1821276395,10.215887419,47.4232699771
Guaymas,39,Sonora,69.3136642687,40.8290381353,47.0051982064,44.788320958,58.5754500978,46.5730179755,36.6503453313,46.2546395315,29.8719221031,35.5272574997,45.9831403307
Hermosillo,73,Sonora,71.7807823719,43.9098829111,64.2419423476,39.5731523675,65.7307473115,50.9688804898,47.2566686576,52.8985645851,34.9574012529,16.9718018545,50.1373847625
Cárdenas,74,Tabasco,62.1317948045,65.9307580957,39.1449482123,33.7901274635,39.2863085869,49.9074691561,31.4901904071,26.1674064303,13.0133291372,2.9780198161,36.7077759184
Villahermosa,40,Tabasco,66.0288258463,63.463842453,51.9581688569,25.5448374714,50.3682629363,40.6215883711,46.8084522733,34.2285073617,23.3666740589,8.8964312411,42.2000404699
Tampico-Pánuco,41,Tamaulipas,64.4080027912,60.1788584937,51.9328289937,39.1891332211,45.2540750956,51.4278433152,45.1067414569,43.8625456907,30.2964521536,10.228081144,44.895950346
Matamoros,43,Tamaulipas,67.8616287758,63.5550553785,50.8578119228,26.4314729121,43.7128625766,53.3594068819,30.2268433036,47.340050659,18.6972839001,5.6711694245,41.7546650132
Nuevo Laredo,44,Tamaulipas,58.0770953102,64.3645945434,52.9659163461,21.1803106892,39.4696798074,50.6218823926,33.0381418151,32.8421543147,18.5156802308,10.0964492311,38.8763727687
Reynosa-Río Bravo,42,Tamaulipas,67.3309099881,56.8016649504,46.9465749207,34.9281780427,40.4196434392,57.5483708911,37.3335816552,37.1112430913,21.1027585507,7.9116345453,41.1736395523
Ciudad Victoria,75,Tamaulipas,73.0933459007,69.9546292069,53.6240125672,36.8244836854,43.3570723982,49.7312748873,40.51880486,45.6311370706,13.8925447849,8.1437825913,44.3161615707
Tlaxcala-Apizaco,45,Tlaxcala,66.341771562,65.9961532038,56.5617016261,45.9651318704,42.0770783246,42.1512497335,36.7795817562,37.0059371387,8.9640266772,11.4213598523,41.9616366111
Veracruz,46,Veracruz,63.127691822,57.7699833723,57.2089414188,35.5160825585,49.9215837008,49.3203031463,55.4438386456,46.2975102311,19.9623541838,11.6866512276,45.6181998904
Córdoba,52,Veracruz,64.037198068,49.7572669206,47.3377712828,43.4286193095,46.2695033304,44.3060484954,50.0167199397,37.6091427961,10.5047561216,8.1040315871,40.7594963573
Orizaba,49,Veracruz,60.1853752258,59.3350949495,46.2728421928,33.3711836991,45.6053997553,47.0099211174,44.8805764784,37.7004295635,10.5454557355,13.4014344235,40.4603798262
Xalapa,47,Veracruz,62.9914506833,56.383569283,54.6032794329,35.9464770772,51.7558935953,46.4574255824,51.1681249472,37.4691749381,12.7277795673,14.4974916483,43.2208446755
Poza Rica,48,Veracruz,60.5844748343,47.2479613882,44.3233926122,41.2367929261,45.0731255229,42.7840370229,47.2589005624,29.4536228137,16.363762092,5.1144750227,38.4693236848
Coatzacoalcos,51,Veracruz,62.8481076394,52.1289494625,50.5377439793,35.0264773419,47.2050130524,50.7950786536,46.6650178036,39.9355436101,20.8643298829,6.0884962825,42.0103634583
Minatitlán,50,Veracruz,61.2996852747,44.7586600858,39.0341593232,38.3393243014,45.5803922263,58.0463828146,40.1311521386,36.294303673,13.7359147284,5.0815162421,38.5785935269
Mérida,53,Yucatán,73.4878648793,65.5375083085,52.8515977785,49.4347552738,46.8323341715,47.4762727102,51.352847486,43.4717876546,21.1571661161,17.0275682218,47.3837366088
Zacatecas-Guadalupe,54,Zacatecas,60.0119617919,45.3135648133,57.1237298419,55.1799521884,51.4818043628,49.8730573577,51.7854315906,44.7000454033,44.0373090613,9.8571626663,47.6130782009
Aguascalientes,1,Aguascalientes,70.4574181424,59.6202768821,60.6340013131,50.0820516812,65.7344737112,40.2313342189,43.7401887171,43.3563578772,27.7409504723,15.617982072,48.8325276425
Ensenada,55,Baja California,46.2091443335,53.5849346213,50.7666589377,34.8858564202,58.5063796522,42.2859343941,45.7332861078,38.2327613103,20.7355498596,10.5033961598,41.1841199522
Mexicali,3,Baja California,40.5380442313,67.3325117048,48.6289810282,35.197763586,65.1330296389,49.2494990881,49.9096899651,39.6947221406,34.1828168059,13.1599302912,45.2769222856
Tijuana,2,Baja California,44.9746581099,66.286233006,51.1892881189,31.3620711482,59.7791948793,50.0359207431,39.7058532095,44.9821367518,27.6122137555,9.0190592563,43.6331448168
La Paz,56,Baja California Sur,69.7387934171,63.0027797214,55.4942385106,57.1369044491,72.5882215807,52.8253682897,47.2307621538,47.1508399911,34.684654964,23.9780559766,53.1106374148
Los Cabos,57,Baja California Sur,72.3589293802,68.183692923,54.1614447181,31.8649639389,57.6675955426,52.7278523814,47.3533135887,59.202611941,70.7368716897,21.1723268325,54.6848808791
Campeche,58,Campeche,72.6151101638,57.0184925209,55.7744159977,65.6101311472,63.459367098,48.9329088023,45.0316300916,46.8008450896,28.9313916579,13.9145390172,50.4718103627
Ciudad del Carmen,59,Campeche,71.8579365608,67.787255961,48.082459261,37.6583074977,62.0846631204,47.6998212946,29.2639035224,47.3588135503,13.9280068396,21.1366099561,45.5766949385
Saltillo,5,Coahuila,74.111097483,60.8554847778,56.4636790874,67.0671754689,56.9878568693,55.3404633959,41.7299678411,37.4721064056,30.4575967061,25.9999059733,50.7122740832
Monclova-Frontera,6,Coahuila,75.7770356803,57.0502255693,51.9403420731,53.3718702036,51.4679981454,46.9295490045,27.1633562969,39.1701480418,28.0813369642,19.4251910716,45.447279614
La Laguna,4,Coahuila,52.7183924801,53.4750005733,49.8974483174,36.7873439633,54.9359668924,50.8017477543,39.7057571128,38.2212893932,26.8813452346,13.9855471701,42.4675710624
Piedras Negras,7,Coahuila,73.9968522539,63.4387716764,46.8787709614,64.9306930109,55.7409221916,44.7095177482,25.7804091621,38.42340411,29.1787316828,23.3936212068,46.8033673135
Tecomán,9,Colima,62.618846451,55.0126889089,48.998231084,48.3312082477,46.4159479215,47.7089038573,32.0555228613,32.3046121473,19.4185685522,6.8632405604,40.41403162
Colima-Villa de Álvarez,8,Colima,64.9990908016,63.869712499,52.7711728737,60.8186173359,51.2460910789,48.8888403301,45.3224548553,45.7939356623,19.6912006976,8.8080241469,46.7754590484
Manzanillo,60,Colima,57.3403410103,55.8298023948,53.1574132887,48.4976436581,55.308932229,47.1249742,39.6499072931,45.4540437517,42.1687799687,12.8705186098,46.5365405464
Tuxtla Gutiérrez,10,Chiapas,67.7540626525,58.8779684124,50.7461270505,41.0703190625,54.737687295,48.1188119136,41.2535621936,37.0318577336,10.9684055936,4.9466342404,42.395725422
Tapachula,61,Chiapas,67.4412856582,61.6686619587,30.529413499,44.402437405,43.2494814423,43.356530564,40.106184816,32.0782745058,14.9750958902,5.5027421057,38.5648122626
Chihuahua,12,Chihuahua,53.1025684835,60.6530110678,55.4026472574,28.0818098465,63.3041552089,46.583877003,45.8802863813,46.7254934947,43.5464666589,25.502392384,48.0146071179
Juárez,11,Chihuahua,31.0197544529,71.4233387088,48.5582993763,30.7113775024,57.5312821574,52.7391518316,36.1074252694,36.3371363826,34.5911915746,12.068289934,41.9281639569
Valle de México,13,Distrito Federal,53.0377908172,53.9396882033,63.4270328498,21.4964306494,50.2205043529,41.5513218286,53.043069036,68.6070265442,67.582392754,66.387092263,54.8552124189
Durango,62,Durango,58.6279687484,70.2166605507,54.4705222468,39.7439222663,55.5000815037,45.9920361186,37.6957463227,32.1220759838,23.3964047523,15.6927346026,44.060163161
Celaya,63,Guanajuato,61.5965016079,52.1771086308,49.0804906356,44.2427357769,52.4129262748,43.4438279924,42.2534966188,34.5969530667,23.5594160617,15.5796090987,42.4735589993
Guanajuato,64,Guanajuato,81.4760145938,69.0756588987,60.1039177775,49.1039554246,77.2600244542,29.8631296725,44.1334949425,39.2784417233,23.3053628654,29.3617557416,51.4861362498
Irapuato,65,Guanajuato,63.2626656425,55.9184865664,47.4980688419,45.7004790652,66.2658977055,35.6712061912,46.7748682592,25.2915484841,19.6695961249,14.7523495371,42.8332075155
León,14,Guanajuato,68.5382572088,54.5572048201,51.7567376502,45.4807049904,58.9915589356,36.2664538365,44.5422047779,42.494991216,29.9906955998,16.9551669038,45.9098108815
